Participant,Trial,Word,Color,GPT Response,Correct Response,Reaction Time (s),Accuracy
3,1,RED,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,2,XXXX,"(255, 0, 0)",b,m,0.0,0
3,3,RED,"(255, 0, 0)",m,m,1.9073486328125e-06,1
3,4,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,5,XXXX,"(0, 0, 255)",m,b,0.0,0
3,6,XXXX,"(255, 0, 0)",m,m,7.152557373046875e-07,1
3,7,RED,"(0, 0, 255)",m,b,0.0,0
3,8,RED,"(255, 0, 0)",b,m,0.0,0
3,9,XXXX,"(255, 0, 0)",b,m,0.0,0
3,10,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,11,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
3,12,XXXX,"(0, 0, 255)",b,b,0.0,1
3,13,BLUE,"(0, 0, 255)",m,b,9.5367431640625e-07,0
3,14,XXXX,"(255, 0, 0)",m,m,9.5367431640625e-07,1
3,15,BLUE,"(255, 0, 0)",m,m,0.0,1
3,16,RED,"(255, 0, 0)",m,m,0.0,1
3,17,XXXX,"(0, 0, 255)",b,b,0.0,1
3,18,XXXX,"(255, 0, 0)",b,m,0.0,0
3,19,BLUE,"(255, 0, 0)",m,m,9.5367431640625e-07,1
3,20,XXXX,"(255, 0, 0)",b,m,7.152557373046875e-07,0
3,21,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,22,RED,"(255, 0, 0)",b,m,0.0,0
3,23,XXXX,"(255, 0, 0)",m,m,0.0,1
3,24,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
3,25,RED,"(255, 0, 0)",m,m,1.1920928955078125e-06,1
3,26,XXXX,"(255, 0, 0)",m,m,0.0,1
3,27,XXXX,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,28,RED,"(0, 0, 255)",m,b,0.0,0
3,29,RED,"(0, 0, 255)",m,b,9.5367431640625e-07,0
3,30,XXXX,"(0, 0, 255)",m,b,0.0,0
3,31,BLUE,"(255, 0, 0)",b,m,9.5367431640625e-07,0
3,32,BLUE,"(0, 0, 255)",b,b,9.5367431640625e-07,1
3,33,BLUE,"(0, 0, 255)",b,b,1.1920928955078125e-06,1
3,34,BLUE,"(255, 0, 0)",b,m,0.0,0
